track_name,artist_names,track_id,artist_id
When Did You Get Hot?,Sabrina Carpenter,0je57Uq5eTk1wrPzn9sWbl,74KM79TiuVKeVCqs8QtB0B
Dive,Olivia Dean,36vmaZyO0iAE6FZ7287fg2,00x1fYSGhdqScXBRpSj3DW
Gangsta's Paradise,"Coolio, L.V.",1DIXPcTDzTj8ZMHt3PDt8p,3y24n3XhZ96wgwRXjvS17T
Mystical Magical,Benson Boone,2ipIPsgrgd0j2beDf4Ki70,22wbnEMDvgVIAGdFeek6ET
Let Alone The One You Love,Olivia Dean,3Vd4fHzwS6pBS3muymjiDi,00x1fYSGhdqScXBRpSj3DW
MIENTRAS DUERMES,Junior H,4e76Ss3ji7HQZ4qwcPNkNA,7Gi6gjaWy3DxyilpF1a8Is
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",1oFAF1hdPOickyHgbuRjyX,1Xyo4u8uXC1ZmMpatF05PJ
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,0du5cEVh5yTK9QJze8zA0C
"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",7nrd0eIftH3NQLfgk20Qp9,1TA5sGRlKUJXBN4ZyJuDIX
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,3YQKmKGau1PzlVlkL1iodx
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1I37Zz2g3hk9eWxaNkj031,0BJ2EjOqcfgFvlZXNKrNbE
Century,EsDeeKid,1lJOLxDS8kS2rihrqezMcv,0EyhkwP3UnwGFBy6xwKjSy
Too Sweet,Hozier,19XpFsce28aByvCC4g89tJ,2FXC3k01G6Gw61bmprjgqS
ocean eyes,Billie Eilish,2uIX8YMNjGMD7441kqyyNU,6qqNVTkY8uBg9cP3Jd7DAH
Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,1uNFoZAHBGtllmzznpCI3s
Unforgettable,"French Montana, Swae Lee",3B54sVLJ402zGa6Xm4YGNe,6vXTefBL93Dj5IqAWq6OTv
Where Have You Been,Rihanna,3tyPOhuVnt5zd5kGfxbCyL,5pKCCKE2ajJHZ9KAiaK11H
lovely (with Khalid),"Billie Eilish, Khalid",0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH
Summertime Sadness,Lana Del Rey,1Ist6PR2BZR3n2z2Y5R6S1,00FQb4jTyendYWaN8pK0wa
Promiscuous,"Nelly Furtado, Timbaland",2gam98EZKrF9XuOkU13ApN,2jw70GZXlAI8QzWeY2bgRc
Beauty And A Beat,"Justin Bieber, Nicki Minaj",6QFCMUUq1T2Vf5sFUXcuQ7,1uNFoZAHBGtllmzznpCI3s
Monolog,Pamungkas,1zu5ZpnrSArdoaT6Qq3yo9,7d86ERlvO5UG44j7Va0Y0C
