artist_id,genres,followers,artist_popularity
4gwpcMTbLWtBUlOijbVpuu,,1023744,67
1nzgtKYFckznkcVMR3Gg4z,,2754007,59
4cPHsZM98sKzmV26wlwD2W,christmas,498450,81
1bAftSH8umNcGZ0uyV7LMg,argentine trap|trap|trap latino,13548664,81
4sj6D0zlMOl25nprDJBiU9,christmas|adult standards,612372,80
1GxkXlMwML1oSg5eLPiAz3,christmas,7026221,89
4iHNK0tOyZPYnBU7nGAgpQ,christmas,12307856,87
5IH6FPUwQTxPSXurCrcIov,,5641199,74
26dSoYclwsYLMAKD3tpOr4,pop,18282069,84
38EmEgXkgK51MT2tPY0EoC,christmas,88807,79
7j6DKwmjbxvpQO8h914uEz,reggaeton,4758758,82
70jpkgy5oGT4YjaGFpCpk7,brazilian funk|trap funk|funk consciente,1718285,79
49e4v89VmlDcFCMyDv9wQ9,christmas|adult standards|big band|swing music,2004712,83
3BmGtnKgCSGYIUhmivXKWX,christmas,11031680,84
2sSGPbdZJkaSE2AbcGOACx,bedroom pop,4243544,85
1EmdfupUQDpXOcb4Nj2mBH,,351180,69
2qoQgPAilErOKCwE2Y8wOG,,2732420,78
5v8jlSmAQfrkTjAlpUfWtu,christmas|adult standards,608419,77
7K78lVZ8XzkjfRSI7570FF,christmas|bolero|villancicos,479406,77
7gW0r5CkdEUMm42w9XpyZO,,9108008,85
293zczrfYafIItmnmM3coR,rockabilly|rock and roll,2249879,74
3dRfiJ2650SZu6GbydcHNb,soundtrack|score,1644845,78
1Mxqyy3pSjf8kZZL4QVxS0,christmas|big band|adult standards|swing music|jazz|vocal jazz,8605015,87
7v4imS0moSyGdXyLgVTIV7,christmas|adult standards|vocal jazz,2600265,83
6ZjFtWeHP9XN7FeKSUe80S,christmas,624964,85
2rmkQLzj0k4nZdQehOUByO,corrido|corridos tumbados|corridos bélicos|música mexicana,5701406,78
57nPqD7z62gDdq37US9XJR,score,808249,78
0wi4yTYlGtEnbGo4ltZTib,christmas|rockabilly,185377,73
26AHtbjWKiwYzsoGoUZq53,christmas,4047271,82
4MCBfE4596Uoi2O4DtmEMz,melodic rap|emo rap,43646812,88
7cYEt1pqMgXJdq00hAwVpT,,10816100,82
43ZHCT0cAZBISjO8DG9PnE,rockabilly|rock and roll,11208492,83
4x1nvY2FN8jxqAFA0DA02H,christmas,6721581,78
4STHEaNw4mPZ2tzheohgXB,,5302389,78
46UMQ0cW8ToR8egkBRwAxZ,musicals,605101,77
391oLRVmoTkumiN79HkTWu,christmas,74106,77
7CyeXFnOrfC1N6z4naIpgo,christmas,475927,79
6zO1dZ40fTZ5hY9NnnRJSk,,2138243,71
5KEG7G8LDYlHgFDqZyEEs2,christmas,1187778,75
4S9EykWXhStSc15wEx8QFK,variété française,10582278,80
5aC2LaswbZgcf1G2uxqBxF,agronejo|sertanejo|sertanejo universitário|piseiro,419368,71
2wzMOQwNT6ZvVB4amvhFAH,celtic punk|celtic rock|christmas|folk punk|celtic,675836,71
